2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBolIta.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'cmtt10' (cmtt10.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Bold.ttf) normal normal bold normal>) = 0.33499999999999996
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'cmex10' (cmex10.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'cmsy10' (cmsy10.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-BoldItalic.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Italic.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymReg.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXGeneral' (STIXGeneral.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-BoldOblique.ttf) oblique normal bold normal>) = 11.335
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Ubuntu Mono derivative Powerline' (Ubuntu Mono derivative Powerline Bold.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG L DZ for Powerline' (Meslo LG L DZ Regular for Powerline.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans Mono for Powerline' (DejaVu Sans Mono Oblique for Powerline.ttf) oblique normal 400 normal>) = 11.05
