,dataset,trial,n_samples,d_dimensions,nu,gamma,scorer,value
0,tstudent,1,500,2,1,0.3701038834778718,hsic,0.0028080108093435766
1,tstudent,1,500,2,1,0.039685026299205,tka,0.9543592549121607
2,tstudent,1,500,2,1,396.85026299204964,ctka,0.9075919510469532
3,tstudent,1,500,2,2,396.85026299204964,hsic,0.0019936765668042457
4,tstudent,1,500,2,2,0.039685026299205,tka,0.9619485586893225
5,tstudent,1,500,2,2,396.85026299204964,ctka,0.8835040590801436
6,tstudent,1,500,2,3,396.85026299204964,hsic,0.00199489774346942
7,tstudent,1,500,2,3,0.039685026299205,tka,0.9784773711595899
8,tstudent,1,500,2,3,396.85026299204964,ctka,0.884126909016702
9,tstudent,2,500,2,1,0.3372248745187434,hsic,0.004243633007722492
10,tstudent,2,500,2,1,0.039685026299205,tka,0.944831719955177
11,tstudent,2,500,2,1,396.85026299204964,ctka,0.8907248426706376
12,tstudent,2,500,2,2,0.48925555277647514,hsic,0.0028731342213825146
13,tstudent,2,500,2,2,0.039685026299205,tka,0.961945392258617
14,tstudent,2,500,2,2,396.85026299204964,ctka,0.8949888532161262
15,tstudent,2,500,2,3,0.779033198232566,hsic,0.0026950670190205813
16,tstudent,2,500,2,3,0.039685026299205,tka,0.9767617035461745
17,tstudent,2,500,2,3,396.85026299204964,ctka,0.879446946129745
18,tstudent,3,500,2,1,0.44579143791262016,hsic,0.0028208022620076338
19,tstudent,3,500,2,1,0.039685026299205,tka,0.9471599912914803
20,tstudent,3,500,2,1,396.85026299204964,ctka,0.8898468585115438
21,tstudent,3,500,2,2,396.85026299204964,hsic,0.0019935114209301
22,tstudent,3,500,2,2,0.039685026299205,tka,0.9611658581367952
23,tstudent,3,500,2,2,396.85026299204964,ctka,0.8757002131975925
24,tstudent,3,500,2,3,396.85026299204964,hsic,0.001993258251409821
25,tstudent,3,500,2,3,0.039685026299205,tka,0.9763858659412737
26,tstudent,3,500,2,3,396.85026299204964,ctka,0.8687917804272425
27,tstudent,4,500,2,1,0.2799700152365614,hsic,0.004748202956214391
28,tstudent,4,500,2,1,396.85026299204964,tka,0.9069256747066781
29,tstudent,4,500,2,1,396.85026299204964,ctka,0.9070914881101189
30,tstudent,4,500,2,2,0.48925555277647514,hsic,0.002640596594112327
31,tstudent,4,500,2,2,0.039685026299205,tka,0.9560170154506791
32,tstudent,4,500,2,2,396.85026299204964,ctka,0.9098563338223137
33,tstudent,4,500,2,3,396.85026299204964,hsic,0.001993711401386764
34,tstudent,4,500,2,3,0.039685026299205,tka,0.9756537025959406
35,tstudent,4,500,2,3,396.85026299204964,ctka,0.8898193407799121
36,tstudent,5,500,2,1,0.536957365182804,hsic,0.0029286782372817486
37,tstudent,5,500,2,1,0.039685026299205,tka,0.9465418272003833
38,tstudent,5,500,2,1,396.85026299204964,ctka,0.8838356575210018
39,tstudent,5,500,2,2,396.85026299204964,hsic,0.001993690314880523
40,tstudent,5,500,2,2,0.039685026299205,tka,0.9699982184033709
41,tstudent,5,500,2,2,396.85026299204964,ctka,0.8690178702084507
42,tstudent,5,500,2,3,396.85026299204964,hsic,0.0019927837071388667
43,tstudent,5,500,2,3,0.039685026299205,tka,0.9816053213838241
44,tstudent,5,500,2,3,396.85026299204964,ctka,0.852617371964925
45,tstudent,1,500,3,1,0.24360250804356867,hsic,0.0032057734005250765
46,tstudent,1,500,3,1,314.62473766045645,tka,0.9974340877473685
47,tstudent,1,500,3,1,314.62473766045645,ctka,0.9974391788426858
48,tstudent,1,500,3,2,0.3878840819725095,hsic,0.0024012746359990357
49,tstudent,1,500,3,2,314.62473766045645,tka,0.995183236593628
50,tstudent,1,500,3,2,314.62473766045645,ctka,0.9951924823754921
51,tstudent,1,500,3,3,314.62473766045645,hsic,0.0019959304898642415
52,tstudent,1,500,3,3,314.62473766045645,tka,0.9966085708156494
53,tstudent,1,500,3,3,314.62473766045645,ctka,0.9966148796987254
54,tstudent,2,500,3,1,0.24360250804356867,hsic,0.004079680486817255
55,tstudent,2,500,3,1,314.62473766045645,tka,0.9978326343300241
56,tstudent,2,500,3,1,314.62473766045645,ctka,0.9978369876853735
57,tstudent,2,500,3,2,0.24360250804356867,hsic,0.002982774111159436
58,tstudent,2,500,3,2,314.62473766045645,tka,0.9952418457615104
59,tstudent,2,500,3,2,314.62473766045645,ctka,0.9952510327031668
60,tstudent,2,500,3,3,314.62473766045645,hsic,0.001995962237653392
61,tstudent,2,500,3,3,314.62473766045645,tka,0.9978641196415218
62,tstudent,2,500,3,3,314.62473766045645,ctka,0.9978684639653619
63,tstudent,3,500,3,1,0.24360250804356867,hsic,0.0041014012738462315
64,tstudent,3,500,3,1,314.62473766045645,tka,0.9939530609435119
65,tstudent,3,500,3,1,314.62473766045645,ctka,0.9939645254691598
66,tstudent,3,500,3,2,0.3878840819725095,hsic,0.002501138015405872
67,tstudent,3,500,3,2,314.62473766045645,tka,0.9976918434283732
68,tstudent,3,500,3,2,314.62473766045645,ctka,0.9976962006687584
69,tstudent,3,500,3,3,314.62473766045645,hsic,0.0019959307254584393
70,tstudent,3,500,3,3,314.62473766045645,tka,0.9977940203826388
71,tstudent,3,500,3,3,314.62473766045645,ctka,0.9977981269209226
72,tstudent,4,500,3,1,0.2219615326256236,hsic,0.004924966073156186
73,tstudent,4,500,3,1,314.62473766045645,tka,0.9949954240064091
74,tstudent,4,500,3,1,314.62473766045645,ctka,0.995003691463141
75,tstudent,4,500,3,2,0.2673534518488288,hsic,0.003028040763472153
76,tstudent,4,500,3,2,314.62473766045645,tka,0.9981865632658954
77,tstudent,4,500,3,2,314.62473766045645,ctka,0.9981895922570051
78,tstudent,4,500,3,3,314.62473766045645,hsic,0.001995947831333117
79,tstudent,4,500,3,3,314.62473766045645,tka,0.9977850959132873
80,tstudent,4,500,3,3,314.62473766045645,ctka,0.9977894206317488
81,tstudent,5,500,3,1,0.2673534518488288,hsic,0.003973840477712417
82,tstudent,5,500,3,1,314.62473766045645,tka,0.9965774869525669
83,tstudent,5,500,3,1,314.62473766045645,ctka,0.9965839879397974
84,tstudent,5,500,3,2,0.35342552918339787,hsic,0.0028663712855590004
85,tstudent,5,500,3,2,314.62473766045645,tka,0.9947096722087136
86,tstudent,5,500,3,2,314.62473766045645,ctka,0.9947170658920624
87,tstudent,5,500,3,3,314.62473766045645,hsic,0.001995892954405359
88,tstudent,5,500,3,3,314.62473766045645,tka,0.9946986722603823
89,tstudent,5,500,3,3,314.62473766045645,ctka,0.9947080093464908
90,tstudent,1,500,10,1,0.04340560479852499,hsic,0.008331527763733915
91,tstudent,1,500,10,1,142.13378685721165,tka,0.9999999999999999
92,tstudent,1,500,10,1,22.111414146026252,ctka,1.0000000000000049
93,tstudent,1,500,10,2,0.05228220464689694,hsic,0.006397428820264246
94,tstudent,1,500,10,2,142.13378685721165,tka,0.9999999999999999
95,tstudent,1,500,10,2,18.35728448027286,ctka,1.0000000000000016
96,tstudent,1,500,10,3,0.047637597681860676,hsic,0.0060147515307681565
97,tstudent,1,500,10,3,142.13378685721165,tka,0.9999999999999999
98,tstudent,1,500,10,3,32.0798759762971,ctka,1.0000000000000042
99,tstudent,2,500,10,1,0.047637597681860676,hsic,0.008192732452144847
100,tstudent,2,500,10,1,142.13378685721165,tka,0.9999999999999999
101,tstudent,2,500,10,1,38.64032418451253,ctka,1.0000000000000013
102,tstudent,2,500,10,2,0.05228220464689694,hsic,0.0067713604220551
103,tstudent,2,500,10,2,142.13378685721165,tka,0.9999999999999999
104,tstudent,2,500,10,2,26.63327661901674,ctka,0.9999999999999952
105,tstudent,2,500,10,3,0.047637597681860676,hsic,0.005971156967610595
106,tstudent,2,500,10,3,142.13378685721165,tka,0.9999999999999999
107,tstudent,2,500,10,3,15.240540078718968,ctka,0.9999999999999982
108,tstudent,3,500,10,1,0.04340560479852499,hsic,0.008684270717097448
109,tstudent,3,500,10,1,142.13378685721165,tka,0.9999999999999999
110,tstudent,3,500,10,1,42.40770809075398,ctka,0.9999999999999977
111,tstudent,3,500,10,2,0.047637597681860676,hsic,0.007490764634210131
112,tstudent,3,500,10,2,142.13378685721165,tka,0.9999999999999999
113,tstudent,3,500,10,2,35.20762428115644,ctka,0.9999999999999967
114,tstudent,3,500,10,3,0.047637597681860676,hsic,0.006779849610479108
115,tstudent,3,500,10,3,142.13378685721165,tka,0.9999999999999999
