,dataset,trial,n_samples,d_dimensions,nu,gamma,scorer,value,gamma_mean,gamma_scott,gamma_silv,noise
147,tstudent,2,500,2,2,0.4772742283309168,hsic,0.002810699332245693,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
148,tstudent,2,500,2,2,0.005,tka,0.9980849085795085,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
149,tstudent,2,500,2,2,49.99999999999999,ctka,0.5171076129519624,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
150,tstudent,2,500,2,3,0.9153691401476838,hsic,0.002682126052250496,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
151,tstudent,2,500,2,3,0.005,tka,0.9993934920835708,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
152,tstudent,2,500,2,3,49.99999999999999,ctka,0.4594933878275794,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
153,tstudent,2,500,2,1,0.32896661232878377,hsic,0.004121640724316316,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
154,tstudent,2,500,2,1,0.005,tka,0.9968004530421205,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
155,tstudent,2,500,2,1,49.99999999999999,ctka,0.5363585770549493,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
156,tstudent,2,500,2,2,0.4772742283309168,hsic,0.0026543903067286654,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
157,tstudent,2,500,2,2,0.005,tka,0.99805326234433,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
158,tstudent,2,500,2,2,49.99999999999999,ctka,0.5033620743128208,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
159,tstudent,2,500,2,3,0.6309284415330099,hsic,0.002534646231112886,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
160,tstudent,2,500,2,3,0.005,tka,0.9993760999662158,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
161,tstudent,2,500,2,3,49.99999999999999,ctka,0.47493639584038916,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
162,tstudent,2,500,2,1,0.32896661232878377,hsic,0.003768380301149847,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
163,tstudent,2,500,2,1,0.005,tka,0.9967063441722357,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
164,tstudent,2,500,2,1,49.99999999999999,ctka,0.551244829200931,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
165,tstudent,2,500,2,2,49.99999999999999,hsic,0.0019909864080823007,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
166,tstudent,2,500,2,2,0.005,tka,0.9980045887828843,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
167,tstudent,2,500,2,2,49.99999999999999,ctka,0.5321220960786037,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
168,tstudent,2,500,2,3,0.8340502686000291,hsic,0.0026905678699719647,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
169,tstudent,2,500,2,3,0.005,tka,0.999325777270178,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
170,tstudent,2,500,2,3,49.99999999999999,ctka,0.48383656636843436,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
171,tstudent,2,500,2,1,0.2997421251594704,hsic,0.003209110871399808,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
172,tstudent,2,500,2,1,0.005,tka,0.9965791700591595,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
173,tstudent,2,500,2,1,49.99999999999999,ctka,0.574038591716598,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
174,tstudent,2,500,2,2,0.3962414491769585,hsic,0.0025924838219786965,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
175,tstudent,2,500,2,2,0.005,tka,0.9977570779330142,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
176,tstudent,2,500,2,2,49.99999999999999,ctka,0.538981821938026,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
177,tstudent,2,500,2,3,49.99999999999999,hsic,0.001980984570533864,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
178,tstudent,2,500,2,3,0.005,tka,0.9991453224138086,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
179,tstudent,2,500,2,3,49.99999999999999,ctka,0.518223623548432,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
180,tstudent,3,500,2,1,0.43487450130889127,hsic,0.0028268629035345543,1.0,0.35495366597555705,0.35495366597555705,0.001
181,tstudent,3,500,2,1,0.005,tka,0.9965824520085916,1.0,0.35495366597555705,0.35495366597555705,0.001
182,tstudent,3,500,2,1,49.99999999999999,ctka,0.5093990495918477,1.0,0.35495366597555705,0.35495366597555705,0.001
183,tstudent,3,500,2,2,49.99999999999999,hsic,0.0019764348605662498,1.0,0.35495366597555705,0.35495366597555705,0.001
184,tstudent,3,500,2,2,0.005,tka,0.9978522957647751,1.0,0.35495366597555705,0.35495366597555705,0.001
185,tstudent,3,500,2,2,49.99999999999999,ctka,0.4859090933387764,1.0,0.35495366597555705,0.35495366597555705,0.001
186,tstudent,3,500,2,3,49.99999999999999,hsic,0.0019741195467135966,1.0,0.35495366597555705,0.35495366597555705,0.001
187,tstudent,3,500,2,3,0.005,tka,0.999433062605431,1.0,0.35495366597555705,0.35495366597555705,0.001
188,tstudent,3,500,2,3,49.99999999999999,ctka,0.4577920558452611,1.0,0.35495366597555705,0.35495366597555705,0.001
189,tstudent,3,500,2,1,0.43487450130889127,hsic,0.002831018624101102,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
190,tstudent,3,500,2,1,0.005,tka,0.9965826066786918,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
191,tstudent,3,500,2,1,49.99999999999999,ctka,0.5095757315891669,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
