,trial,function,noise,init_gamma,gamma,scorer,value,mi
75,1,line,0.001,0.5,0.4551490889957608,tka,0.9999998863704972,5.216984272414182
76,1,line,0.001,0.5,0.3771560031677311,tka,0.9999999192651555,5.216984272414182
77,1,line,0.001,0.5,0.3125275962636988,tka,0.9999999429513741,5.216984272414182
78,1,line,0.001,0.5,0.25897373396156065,tka,0.9999999598763637,5.216984272414182
79,1,line,0.001,0.5,0.2145967130064389,tka,0.9999999718913873,5.216984272414182
80,1,line,0.001,0.5,0.17782401531115663,tka,0.999999980373917,5.216984272414182
81,1,line,0.001,0.5,0.14735258512759064,tka,0.9999999863348197,5.216984272414182
82,1,line,0.001,0.5,0.12210265472743262,tka,0.9999999905074778,5.216984272414182
83,1,line,0.001,0.5,0.1011794823862579,tka,0.9999999934188865,5.216984272414182
84,1,line,0.001,0.5,0.08384164684055041,tka,0.9999999954447757,5.216984272414182
85,1,line,0.001,0.5,0.06947477471865694,tka,0.9999999968512916,5.216984272414182
86,1,line,0.001,0.5,0.05756976996632241,tka,0.9999999978259767,5.216984272414182
87,1,line,0.001,0.5,0.04770477381749972,tka,0.9999999985003547,5.216984272414182
88,1,line,0.001,0.5,0.039530216054538506,tka,0.9999999989663496,5.216984272414182
89,1,line,0.001,0.5,0.03275642784297758,tka,0.9999999992880039,5.216984272414182
90,1,line,0.001,0.5,0.027143377196619328,tka,0.9999999995098242,5.216984272414182
91,1,line,0.001,0.5,0.022492163344847247,tka,0.9999999996626858,5.216984272414182
92,1,line,0.001,0.5,0.01863796860157471,tka,0.9999999997679756,5.216984272414182
93,1,line,0.001,0.5,0.01544421798238741,tka,0.999999999840435,5.216984272414182
94,1,line,0.001,0.5,0.012797739613497689,tka,0.9999999998902995,5.216984272414182
95,1,line,0.001,0.5,0.010604754439600964,tka,0.9999999999245909,5.216984272414182
96,1,line,0.001,0.5,0.008787553124273964,tka,0.9999999999481822,5.216984272414182
97,1,line,0.001,0.5,0.007281742387506222,tka,0.9999999999643986,5.216984272414182
98,1,line,0.001,0.5,0.006033963203196644,tka,0.9999999999755382,5.216984272414182
