,dataset,trial,n_samples,d_dimensions,nu,gamma,scorer,value
183,gauss,2,5000,10,,0.01974942564362874,hsic,0.03428271931469987
184,gauss,2,5000,10,,197.49425643628743,tka,1.0
185,gauss,2,5000,10,,27.99430058248782,ctka,1.0000000000004934
186,gauss,3,5000,10,,0.01974942564362874,hsic,0.03140678528565683
187,gauss,3,5000,10,,197.49425643628743,tka,1.0
188,gauss,3,5000,10,,37.006817862517195,ctka,1.0000000000004972
189,gauss,4,5000,10,,0.01974942564362874,hsic,0.03284956145931387
190,gauss,4,5000,10,,197.49425643628743,tka,1.0
191,gauss,4,5000,10,,197.49425643628743,ctka,1.0000000000004994
192,gauss,5,5000,10,,0.01974942564362874,hsic,0.02840280244185431
193,gauss,5,5000,10,,197.49425643628743,tka,1.0
194,gauss,5,5000,10,,27.99430058248782,ctka,1.0000000000004956
195,gauss,1,5000,50,,0.007537477948422559,hsic,0.00020381955877142065
196,gauss,1,5000,50,,75.37477948422554,tka,1.0
197,gauss,1,5000,50,,0.08467030127504963,ctka,1.0000000000004925
198,gauss,2,5000,50,,0.007537477948422559,hsic,0.00020337531004344133
199,gauss,2,5000,50,,75.37477948422554,tka,1.0
200,gauss,2,5000,50,,0.1228421097737635,ctka,1.0000000000004996
201,gauss,3,5000,50,,0.007537477948422559,hsic,0.00020265073226302687
202,gauss,3,5000,50,,75.37477948422554,tka,1.0
203,gauss,3,5000,50,,0.09292555112329218,ctka,1.0000000000005012
204,gauss,4,5000,50,,0.007537477948422559,hsic,0.0002031085281160862
205,gauss,4,5000,50,,75.37477948422554,tka,1.0
206,gauss,4,5000,50,,0.04845145937237838,ctka,0.9999999999993593
207,gauss,5,5000,50,,0.007537477948422559,hsic,0.00020279953734866413
208,gauss,5,5000,50,,75.37477948422554,tka,1.0
209,gauss,5,5000,50,,0.04845145937237838,ctka,0.9999999999989327
210,gauss,1,5000,100,,62.68345016666018,hsic,0.00019995999999999954
211,gauss,1,5000,100,,62.68345016666018,tka,1.0
212,gauss,1,5000,100,,0.009094295343720667,ctka,0.9999999999999403
213,gauss,2,5000,100,,62.68345016666018,hsic,0.00019995999999999954
214,gauss,2,5000,100,,62.68345016666018,tka,1.0
215,gauss,2,5000,100,,0.009094295343720667,ctka,0.999999999999917
216,gauss,3,5000,100,,62.68345016666018,hsic,0.00019995999999999954
217,gauss,3,5000,100,,62.68345016666018,tka,1.0
218,gauss,3,5000,100,,0.0158925393912095,ctka,1.0000000000005012
219,gauss,4,5000,100,,62.68345016666018,hsic,0.00019995999999999954
220,gauss,4,5000,100,,62.68345016666018,tka,1.0
221,gauss,4,5000,100,,0.01448068999336843,ctka,1.0000000000005003
222,gauss,5,5000,100,,62.68345016666018,hsic,0.00019995999999999954
223,gauss,5,5000,100,,62.68345016666018,tka,1.0
224,gauss,5,5000,100,,62.68345016666018,ctka,1.0000000000004994
225,gauss,1,10000,2,,0.47727422833091643,hsic,0.02835266740205628
226,gauss,1,10000,2,,0.10772173450159418,tka,0.9678859871512995
227,gauss,1,10000,2,,0.10772173450159418,ctka,0.5639155443270574
228,gauss,2,10000,2,,0.2997421251594701,hsic,0.03047838161907594
229,gauss,2,10000,2,,0.10772173450159418,tka,0.9461375033995966
230,gauss,2,10000,2,,0.10772173450159418,ctka,0.5658574373125648
231,gauss,3,10000,2,,0.6924431856969359,hsic,0.025762216028704245
232,gauss,3,10000,2,,0.10772173450159418,tka,0.9632795592123953
233,gauss,3,10000,2,,0.10772173450159418,ctka,0.47011091620399337
234,gauss,4,10000,2,,0.24885117821660518,hsic,0.04141902980600045
235,gauss,4,10000,2,,0.10772173450159418,tka,0.9357511774793444
236,gauss,4,10000,2,,0.10772173450159418,ctka,0.6102219954578222
237,gauss,5,10000,2,,0.36104045091927284,hsic,0.04725948114123806
238,gauss,5,10000,2,,0.10772173450159418,tka,0.9655603222290848
239,gauss,5,10000,2,,0.10772173450159418,ctka,0.7178156964207342
240,gauss,1,10000,3,,0.20604409222551956,hsic,0.04676686803596096
241,gauss,1,10000,3,,0.07404840739862932,tka,0.9784661964335889
242,gauss,1,10000,3,,740.4840739862933,ctka,0.9614093524926995
243,gauss,2,10000,3,,0.14201820041033608,hsic,0.04230892175630638
244,gauss,2,10000,3,,740.4840739862933,tka,0.9794563684307354
245,gauss,2,10000,3,,740.4840739862933,ctka,0.9794580062158468
246,gauss,3,10000,3,,0.18773970295351833,hsic,0.02923313713240625
247,gauss,3,10000,3,,740.4840739862933,tka,0.9284207112127464
248,gauss,3,10000,3,,740.4840739862933,ctka,0.9284256015878027
249,gauss,4,10000,3,,0.12940169490444378,hsic,0.04211898968594106
250,gauss,4,10000,3,,740.4840739862933,tka,0.9624641148067753
251,gauss,4,10000,3,,740.4840739862933,ctka,0.9624680157663571
252,gauss,5,10000,3,,0.14201820041033608,hsic,0.051512622773485686
253,gauss,5,10000,3,,740.4840739862933,tka,0.9754349370402244
254,gauss,5,10000,3,,740.4840739862933,ctka,0.97543735052035
255,gauss,1,10000,10,,0.021805133754211174,hsic,0.02855098659030081
256,gauss,1,10000,10,,218.05133754211164,tka,1.0
257,gauss,1,10000,10,,44.842525950723896,ctka,0.9999999999953454
258,gauss,2,10000,10,,0.021805133754211174,hsic,0.031889375357534215
259,gauss,2,10000,10,,218.05133754211164,tka,1.0
260,gauss,2,10000,10,,218.05133754211164,ctka,0.9999999999952845
261,gauss,3,10000,10,,0.021805133754211174,hsic,0.029277698238048176
262,gauss,3,10000,10,,218.05133754211164,tka,1.0
263,gauss,3,10000,10,,59.27918025541764,ctka,0.9999999999952839
264,gauss,4,10000,10,,0.021805133754211174,hsic,0.030560833251791663
265,gauss,4,10000,10,,218.05133754211164,tka,1.0
266,gauss,4,10000,10,,218.05133754211164,ctka,0.9999999999952845
267,gauss,5,10000,10,,0.021805133754211174,hsic,0.02651852040284727
268,gauss,5,10000,10,,218.05133754211164,tka,1.0
269,gauss,5,10000,10,,218.05133754211164,ctka,0.9999999999952845
270,gauss,1,10000,50,,0.0077334861784619496,hsic,0.00010310015796625475
271,gauss,1,10000,50,,77.33486178461952,tka,1.0
272,gauss,1,10000,50,,0.049711414606661106,ctka,0.9999999999992747
273,gauss,2,10000,50,,0.0077334861784619496,hsic,0.00010280284131227889
274,gauss,2,10000,50,,77.33486178461952,tka,1.0
275,gauss,2,10000,50,,0.049711414606661106,ctka,0.9999999999912988
276,gauss,3,10000,50,,0.0077334861784619496,hsic,0.00010224349894565303
277,gauss,3,10000,50,,77.33486178461952,tka,1.0
278,gauss,3,10000,50,,0.09534203219637101,ctka,0.9999999999952848
279,gauss,4,10000,50,,0.0077334861784619496,hsic,0.00010272760141471461
280,gauss,4,10000,50,,77.33486178461952,tka,1.0
281,gauss,4,10000,50,,0.049711414606661106,ctka,0.999999999997908
282,gauss,5,10000,50,,0.0077334861784619496,hsic,0.00010235011790136844
283,gauss,5,10000,50,,77.33486178461952,tka,1.0
284,gauss,5,10000,50,,0.07915463011083153,ctka,0.9999999999955702
285,gauss,1,10000,100,,0.01610580122947887,hsic,9.99899999999857e-05
286,gauss,1,10000,100,,63.52459880140906,tka,1.0
287,gauss,1,10000,100,,0.014675006237700206,ctka,0.9999999999953002
288,gauss,2,10000,100,,0.01610580122947887,hsic,9.998999999998564e-05
289,gauss,2,10000,100,,63.52459880140906,tka,1.0
290,gauss,2,10000,100,,0.014675006237700206,ctka,0.9999999999952984
291,gauss,3,10000,100,,0.01610580122947887,hsic,9.998999999998574e-05
292,gauss,3,10000,100,,63.52459880140906,tka,1.0
293,gauss,3,10000,100,,0.008397578109537843,ctka,0.9999999999991099
294,gauss,4,10000,100,,0.014675006237700206,hsic,9.998999999998628e-05
295,gauss,4,10000,100,,63.52459880140906,tka,1.0
296,gauss,4,10000,100,,0.014675006237700206,ctka,0.9999999999953006
297,gauss,5,10000,100,,63.52459880140906,hsic,9.998999999998568e-05
298,gauss,5,10000,100,,63.52459880140906,tka,1.0
299,gauss,5,10000,100,,0.014675006237700206,ctka,0.9999999999953858
300,gauss,1,30000,2,,0.5207104352019144,hsic,0.028124527435340496
301,gauss,1,30000,2,,0.15536162529769296,tka,0.9491485535902472
302,gauss,1,30000,2,,0.15536162529769296,ctka,0.5355930270012851
303,gauss,2,30000,2,,0.2979696554285611,hsic,0.03095957902969301
304,gauss,2,30000,2,,0.15536162529769296,tka,0.9172676340438233
305,gauss,2,30000,2,,0.15536162529769296,ctka,0.5453927905504125
306,gauss,3,30000,2,,0.6883485507290644,hsic,0.0258184886494004
307,gauss,3,30000,2,,0.15536162529769296,tka,0.941902635779993
308,gauss,3,30000,2,,0.15536162529769296,ctka,0.45332861025315924
309,gauss,4,30000,2,,0.24737964270702228,hsic,0.04151023262727863
310,gauss,4,30000,2,,0.15536162529769296,tka,0.9040284996979433
311,gauss,4,30000,2,,0.15536162529769296,ctka,0.5736991074497975
312,gauss,5,30000,2,,0.35890550485339123,hsic,0.04729145608676291
313,gauss,5,30000,2,,0.15536162529769296,tka,0.9453762302427687
314,gauss,5,30000,2,,0.15536162529769296,ctka,0.6879405873085105
315,gauss,1,30000,3,,0.1943857227383762,hsic,0.04620672199202965
316,gauss,1,30000,3,,0.10135287694267034,tka,0.967055314205287
