,trial,function,noise,init_gamma,gamma,scorer,value,mi
0,1,line,0.001,5.865526724235457,58655.26724235462,hsic,0.005892258696522343,5.333643299101894
1,1,line,0.001,5.865526724235457,40275.57150538134,hsic,0.00699370806947408,5.333643299101894
2,1,line,0.001,5.865526724235457,27655.17465605819,hsic,0.008295136695939117,5.333643299101894
3,1,line,0.001,5.865526724235457,18989.39373597458,hsic,0.009829568917045606,5.333643299101894
4,1,line,0.001,5.865526724235457,13039.045276138831,hsic,0.011637085221671745,5.333643299101894
5,1,line,0.001,5.865526724235457,8953.2453788195,hsic,0.013768096791580647,5.333643299101894
6,1,line,0.001,5.865526724235457,6147.735598406493,hsic,0.016285489391197956,5.333643299101894
7,1,line,0.001,5.865526724235457,4221.335548037641,hsic,0.01926450381681001,5.333643299101894
8,1,line,0.001,5.865526724235457,2898.5751784356426,hsic,0.022790681494070323,5.333643299101894
9,1,line,0.001,5.865526724235457,1990.3032984309662,hsic,0.026955644241177232,5.333643299101894
10,1,line,0.001,5.865526724235457,1366.6394610758714,hsic,0.03185076606123924,5.333643299101894
11,1,line,0.001,5.865526724235457,938.4014074850467,hsic,0.037565320235050444,5.333643299101894
12,1,line,0.001,5.865526724235457,644.3522426000166,hsic,0.04418951598587035,5.333643299101894
13,1,line,0.001,5.865526724235457,442.4437231572323,hsic,0.05180425806445653,5.333643299101894
14,1,line,0.001,5.865526724235457,303.80347148531575,hsic,0.06045084660007264,5.333643299101894
15,1,line,0.001,5.865526724235457,208.60630280368898,hsic,0.07009670165166898,5.333643299101894
16,1,line,0.001,5.865526724235457,143.2392768807703,hsic,0.08060719380538975,5.333643299101894
17,1,line,0.001,5.865526724235457,98.355084029432,hsic,0.09170662733367478,5.333643299101894
18,1,line,0.001,5.865526724235457,67.53540484911042,hsic,0.10290739259334251,5.333643299101894
19,1,line,0.001,5.865526724235457,46.37310773653946,hsic,0.11342205759038372,5.333643299101894
20,1,line,0.001,5.865526724235457,31.842040866554814,hsic,0.12209172625758186,5.333643299101894
21,1,line,0.001,5.865526724235457,21.86430058359958,hsic,0.1273846408804742,5.333643299101894
22,1,line,0.001,5.865526724235457,15.013096742555502,hsic,0.12756693187321677,5.333643299101894
23,1,line,0.001,5.865526724235457,10.308725538213553,hsic,0.12118117457283864,5.333643299101894
24,1,line,0.001,5.865526724235457,7.078474484280664,hsic,0.10784508899525101,5.333643299101894
25,1,line,0.001,5.865526724235457,4.860426329023725,hsic,0.08893213505425199,5.333643299101894
26,1,line,0.001,5.865526724235457,3.3374061250526372,hsic,0.06743994687417913,5.333643299101894
27,1,line,0.001,5.865526724235457,2.291626061077669,hsic,0.04691238239435343,5.333643299101894
28,1,line,0.001,5.865526724235457,1.5735423880207342,hsic,0.030045775843957345,5.333643299101894
29,1,line,0.001,5.865526724235457,1.0804710632997452,hsic,0.017883904762606328,5.333643299101894
30,1,line,0.001,5.865526724235457,0.7419042076753393,hsic,0.01001805178392518,5.333643299101894
31,1,line,0.001,5.865526724235457,0.5094276673041019,hsic,0.005350887326794409,5.333643299101894
32,1,line,0.001,5.865526724235457,0.3497979193675963,hsic,0.002757323201435797,5.333643299101894
33,1,line,0.001,5.865526724235457,0.24018833731866723,hsic,0.0013840202365271983,5.333643299101894
34,1,line,0.001,5.865526724235457,0.164925044403366,hsic,0.0006817282984217886,5.333643299101894
35,1,line,0.001,5.865526724235457,0.11324559125185436,hsic,0.00033134969249776257,5.333643299101894
36,1,line,0.001,5.865526724235457,0.07775995443491485,hsic,0.00015955121400013406,5.333643299101894
37,1,line,0.001,5.865526724235457,0.053393782900321256,hsic,7.632813399585417e-05,5.333643299101894
38,1,line,0.001,5.865526724235457,0.036662779358915924,hsic,3.635026221178714e-05,5.333643299101894
39,1,line,0.001,5.865526724235457,0.025174455101447155,hsic,1.7257362746515173e-05,5.333643299101894
40,1,line,0.001,5.865526724235457,0.017286010519021292,hsic,8.175341380070206e-06,5.333643299101894
41,1,line,0.001,5.865526724235457,0.011869419157618149,hsic,3.86716793080987e-06,5.333643299101894
42,1,line,0.001,5.865526724235457,0.00815012295545041,hsic,1.8274132683210989e-06,5.333643299101894
