,dataset,trial,n_samples,d_dimensions,nu,std,gamma,gamma_median,gamma_silv,gamma_scott,gamma_belkin,scorer,value
0,gauss,1,50,2,,0.0,15.279280850491698,1.7019096745618831,0.5210007309586914,0.5210007309586914,0.7606602032731559,hsic,0.018929975386611085
1,gauss,1,50,2,,0.0,0.0015279280850491693,1.7019096745618831,0.5210007309586914,0.5210007309586914,0.7606602032731559,tka,0.9999515074784161
2,gauss,1,50,2,,0.0,15.279280850491698,1.7019096745618831,0.5210007309586914,0.5210007309586914,0.7606602032731559,ctka,0.7456377604648801
3,gauss,1,50,2,,0.1,15.430701177383051,1.7002205805858988,0.5210007309586914,0.5210007309586914,0.763742620063378,hsic,0.018935470870365977
4,gauss,1,50,2,,0.1,0.0015430701177383053,1.7002205805858988,0.5210007309586914,0.5210007309586914,0.763742620063378,tka,0.9999516683069417
5,gauss,1,50,2,,0.1,15.430701177383051,1.7002205805858988,0.5210007309586914,0.5210007309586914,0.763742620063378,ctka,0.7404186301048421
6,gauss,1,50,2,,0.2,15.570163629734122,1.6829284332509136,0.5210007309586914,0.5210007309586914,0.7681787717603382,hsic,0.018940151524958395
7,gauss,1,50,2,,0.2,0.001557016362973413,1.6829284332509136,0.5210007309586914,0.5210007309586914,0.7681787717603382,tka,0.9999523495525979
8,gauss,1,50,2,,0.2,15.570163629734122,1.6829284332509136,0.5210007309586914,0.5210007309586914,0.7681787717603382,ctka,0.7496950014316792
9,gauss,1,50,2,,0.3,15.697843847826162,1.6754171918774623,0.5210007309586914,0.5210007309586914,0.7723770684071878,hsic,0.018979649496371074
10,gauss,1,50,2,,0.3,0.001569784384782616,1.6754171918774623,0.5210007309586914,0.5210007309586914,0.7723770684071878,tka,0.9999535097787285
11,gauss,1,50,2,,0.3,15.697843847826162,1.6754171918774623,0.5210007309586914,0.5210007309586914,0.7723770684071878,ctka,0.7749518308583704
12,gauss,1,50,2,,0.4,15.820857403105878,1.673191960837592,0.5210007309586914,0.5210007309586914,0.7680821528275672,hsic,0.018961236808316122
13,gauss,1,50,2,,0.4,0.0015820857403105878,1.673191960837592,0.5210007309586914,0.5210007309586914,0.7680821528275672,tka,0.9999550585593019
14,gauss,1,50,2,,0.4,15.820857403105878,1.673191960837592,0.5210007309586914,0.5210007309586914,0.7680821528275672,ctka,0.7516446637825721
15,gauss,1,50,2,,0.5,15.934618823162157,1.6604470728680067,0.5210007309586914,0.5210007309586914,0.747104596105407,hsic,0.018956830185989544
16,gauss,1,50,2,,0.5,0.0015934618823162158,1.6604470728680067,0.5210007309586914,0.5210007309586914,0.747104596105407,tka,0.9999569669286974
17,gauss,1,50,2,,0.5,15.934618823162157,1.6604470728680067,0.5210007309586914,0.5210007309586914,0.747104596105407,ctka,0.7616502155694597
18,gauss,1,50,2,,0.6,16.045094442868173,1.652561834543909,0.5210007309586914,0.5210007309586914,0.73579729508316,hsic,0.01895726282459078
19,gauss,1,50,2,,0.6,0.001604509444286818,1.652561834543909,0.5210007309586914,0.5210007309586914,0.73579729508316,tka,0.9999591390104239
20,gauss,1,50,2,,0.6,16.045094442868173,1.652561834543909,0.5210007309586914,0.5210007309586914,0.73579729508316,ctka,0.7607796298453849
21,gauss,1,50,2,,0.7,16.15634250649513,1.639537392574145,0.5210007309586914,0.5210007309586914,0.7327934142475148,hsic,0.018931507584788027
22,gauss,1,50,2,,0.7,0.001615634250649513,1.639537392574145,0.5210007309586914,0.5210007309586914,0.7327934142475148,tka,0.9999614858169101
23,gauss,1,50,2,,0.7,16.15634250649513,1.639537392574145,0.5210007309586914,0.5210007309586914,0.7327934142475148,ctka,0.7556972527403842
24,gauss,1,50,2,,0.8,16.27011178130861,1.6366162305048855,0.5210007309586914,0.5210007309586914,0.7223746859036801,hsic,0.018865226881012262
25,gauss,1,50,2,,0.8,0.0016270111781308612,1.6366162305048855,0.5210007309586914,0.5210007309586914,0.7223746859036801,tka,0.9999639220795685
26,gauss,1,50,2,,0.8,16.27011178130861,1.6366162305048855,0.5210007309586914,0.5210007309586914,0.7223746859036801,ctka,0.730363561365666
27,gauss,1,50,2,,0.9,16.382422648636073,1.6317858333863342,0.5210007309586914,0.5210007309586914,0.7246165217370044,hsic,0.01878776470886275
28,gauss,1,50,2,,0.9,0.0016382422648636074,1.6317858333863342,0.5210007309586914,0.5210007309586914,0.7246165217370044,tka,0.9999663712635121
29,gauss,1,50,2,,0.9,16.382422648636073,1.6317858333863342,0.5210007309586914,0.5210007309586914,0.7246165217370044,ctka,0.7072924601355741
30,gauss,1,50,2,,1.0,16.4856673629063,1.6329610661683707,0.5210007309586914,0.5210007309586914,0.7117772897155956,hsic,0.018764521501564106
31,gauss,1,50,2,,1.0,0.0016485667362906306,1.6329610661683707,0.5210007309586914,0.5210007309586914,0.7117772897155956,tka,0.9999687389373878
32,gauss,1,50,2,,1.0,16.4856673629063,1.6329610661683707,0.5210007309586914,0.5210007309586914,0.7117772897155956,ctka,0.6984546872891744
33,gauss,2,50,2,,0.0,17.10993484134795,1.6351370384061579,0.5210007309586914,0.5210007309586914,0.7121312236966155,hsic,0.01898851568449083
34,gauss,2,50,2,,0.0,0.0017109934841347946,1.6351370384061579,0.5210007309586914,0.5210007309586914,0.7121312236966155,tka,0.9999601073715276
35,gauss,2,50,2,,0.0,17.10993484134795,1.6351370384061579,0.5210007309586914,0.5210007309586914,0.7121312236966155,ctka,0.7202418012321667
36,gauss,2,50,2,,0.1,16.94666768774103,1.6397301509446183,0.5210007309586914,0.5210007309586914,0.6871320881510747,hsic,0.01893543702977753
