,dataset,dimensions,dof,gamma_init,gamma_method,hsic_value,mi_value,samples,scorer,trial
19,tstudent,2.0,2.0,1.8420157493201932,silverman,0.4399773131463019,0.1365193474204767,50.0,ctka,1.0
20,tstudent,2.0,3.0,1.8420157493201932,silverman,0.38458567185722375,0.07945839242944243,50.0,ctka,1.0
21,tstudent,2.0,4.0,1.8420157493201932,silverman,0.3536733990524352,0.052637860096208584,50.0,ctka,1.0
22,tstudent,2.0,5.0,1.8420157493201932,silverman,0.3365343698655285,0.03782265434438592,50.0,ctka,1.0
23,tstudent,2.0,6.0,1.8420157493201932,silverman,0.3294724179183671,0.013491066735954457,50.0,ctka,1.0
24,tstudent,2.0,7.0,1.8420157493201932,silverman,0.3205810583182899,0.00784967630613727,50.0,ctka,1.0
25,tstudent,2.0,8.0,1.8420157493201932,silverman,0.31577230264699824,0.005690526141371728,50.0,ctka,1.0
26,tstudent,2.0,9.0,1.8420157493201932,silverman,0.3104649122837783,0.0040529189612695795,50.0,ctka,1.0
27,tstudent,2.0,1.0,1.8420157493201932,silverman,0.021614344017084067,0.3063662730984111,50.0,hsic,2.0
28,tstudent,2.0,2.0,1.8420157493201932,silverman,0.019378877192466535,0.14084380669112653,50.0,hsic,2.0
29,tstudent,2.0,3.0,1.8420157493201932,silverman,0.018614882992565127,0.08378285170009228,50.0,hsic,2.0
30,tstudent,2.0,4.0,1.8420157493201932,silverman,0.018698766161240846,0.0569623193668572,50.0,hsic,2.0
31,tstudent,2.0,5.0,1.8420157493201932,silverman,0.018087033148615206,0.04214711361503577,50.0,hsic,2.0
32,tstudent,2.0,6.0,1.8420157493201932,silverman,0.017240289063214755,0.017815526006603074,50.0,hsic,2.0
33,tstudent,2.0,7.0,1.8420157493201932,silverman,0.016904345546932407,0.012174135576786505,50.0,hsic,2.0
34,tstudent,2.0,8.0,1.8420157493201932,silverman,0.01671661263930308,0.010014985412020963,50.0,hsic,2.0
35,tstudent,2.0,9.0,1.8420157493201932,silverman,0.016509577312267886,0.00837737823191943,50.0,hsic,2.0
36,tstudent,2.0,1.0,1.8420157493201932,silverman,0.6813106178010035,0.3063662730984111,50.0,tka,2.0
37,tstudent,2.0,2.0,1.8420157493201932,silverman,0.5265306507024508,0.14084380669112653,50.0,tka,2.0
38,tstudent,2.0,3.0,1.8420157493201932,silverman,0.4927937743799721,0.08378285170009228,50.0,tka,2.0
39,tstudent,2.0,4.0,1.8420157493201932,silverman,0.4937562003363803,0.0569623193668572,50.0,tka,2.0
40,tstudent,2.0,5.0,1.8420157493201932,silverman,0.47690368195500543,0.04214711361503577,50.0,tka,2.0
41,tstudent,2.0,6.0,1.8420157493201932,silverman,0.4604471598589445,0.017815526006603074,50.0,tka,2.0
42,tstudent,2.0,7.0,1.8420157493201932,silverman,0.45419392538864306,0.012174135576786505,50.0,tka,2.0
43,tstudent,2.0,8.0,1.8420157493201932,silverman,0.4499423047051816,0.010014985412020963,50.0,tka,2.0
44,tstudent,2.0,9.0,1.8420157493201932,silverman,0.4451116205121686,0.00837737823191943,50.0,tka,2.0
45,tstudent,2.0,1.0,1.8420157493201932,silverman,0.6449282620363043,0.3063662730984111,50.0,ctka,2.0
46,tstudent,2.0,2.0,1.8420157493201932,silverman,0.4334471039949084,0.14084380669112653,50.0,ctka,2.0
47,tstudent,2.0,3.0,1.8420157493201932,silverman,0.3818509180575664,0.08378285170009228,50.0,ctka,2.0
48,tstudent,2.0,4.0,1.8420157493201932,silverman,0.3693242720879551,0.0569623193668572,50.0,ctka,2.0
49,tstudent,2.0,5.0,1.8420157493201932,silverman,0.3448805599761078,0.04214711361503577,50.0,ctka,2.0
50,tstudent,2.0,6.0,1.8420157493201932,silverman,0.321141996060244,0.017815526006603074,50.0,ctka,2.0
51,tstudent,2.0,7.0,1.8420157493201932,silverman,0.3122377782941087,0.012174135576786505,50.0,ctka,2.0
52,tstudent,2.0,8.0,1.8420157493201932,silverman,0.3065291500941131,0.010014985412020963,50.0,ctka,2.0
53,tstudent,2.0,9.0,1.8420157493201932,silverman,0.3001949061809942,0.00837737823191943,50.0,ctka,2.0
54,tstudent,2.0,1.0,1.8420157493201932,silverman,0.01696746135371553,0.3012591562057573,50.0,hsic,3.0
55,tstudent,2.0,2.0,1.8420157493201932,silverman,0.017475001355467833,0.13573668979847278,50.0,hsic,3.0
56,tstudent,2.0,3.0,1.8420157493201932,silverman,0.01612307595822436,0.0786757348074385,50.0,hsic,3.0
57,tstudent,2.0,4.0,1.8420157493201932,silverman,0.01544109889542491,0.05185520247420281,50.0,hsic,3.0
58,tstudent,2.0,5.0,1.8420157493201932,silverman,0.016606912319007756,0.03703999672238199,50.0,hsic,3.0
59,tstudent,2.0,6.0,1.8420157493201932,silverman,0.01605015643300541,0.012708409113948682,50.0,hsic,3.0
60,tstudent,2.0,7.0,1.8420157493201932,silverman,0.015768356831787678,0.007067018684132112,50.0,hsic,3.0
61,tstudent,2.0,8.0,1.8420157493201932,silverman,0.015593523044494408,0.00490786851936657,50.0,hsic,3.0
62,tstudent,2.0,9.0,1.8420157493201932,silverman,0.015429830892912293,0.0032702613392656525,50.0,hsic,3.0
63,tstudent,2.0,1.0,1.8420157493201932,silverman,0.4692066786966603,0.3012591562057573,50.0,tka,3.0
64,tstudent,2.0,2.0,1.8420157493201932,silverman,0.4709977996539892,0.13573668979847278,50.0,tka,3.0
65,tstudent,2.0,3.0,1.8420157493201932,silverman,0.4529164161199418,0.0786757348074385,50.0,tka,3.0
66,tstudent,2.0,4.0,1.8420157493201932,silverman,0.4340445132228785,0.05185520247420281,50.0,tka,3.0
67,tstudent,2.0,5.0,1.8420157493201932,silverman,0.45624387498732233,0.03703999672238199,50.0,tka,3.0
68,tstudent,2.0,6.0,1.8420157493201932,silverman,0.43877144568273296,0.012708409113948682,50.0,tka,3.0
69,tstudent,2.0,7.0,1.8420157493201932,silverman,0.43062140824716644,0.007067018684132112,50.0,tka,3.0
70,tstudent,2.0,8.0,1.8420157493201932,silverman,0.42613602756627195,0.00490786851936657,50.0,tka,3.0
71,tstudent,2.0,9.0,1.8420157493201932,silverman,0.4220458494837803,0.0032702613392656525,50.0,tka,3.0
72,tstudent,2.0,1.0,1.8420157493201932,silverman,0.35116718540920216,0.3012591562057573,50.0,ctka,3.0
73,tstudent,2.0,2.0,1.8420157493201932,silverman,0.38076826114173784,0.13573668979847278,50.0,ctka,3.0
74,tstudent,2.0,3.0,1.8420157493201932,silverman,0.3351912503668209,0.0786757348074385,50.0,ctka,3.0
75,tstudent,2.0,4.0,1.8420157493201932,silverman,0.3033936340608955,0.05185520247420281,50.0,ctka,3.0
76,tstudent,2.0,5.0,1.8420157493201932,silverman,0.3212348301580033,0.03703999672238199,50.0,ctka,3.0
77,tstudent,2.0,6.0,1.8420157493201932,silverman,0.29780166070903363,0.012708409113948682,50.0,ctka,3.0
78,tstudent,2.0,7.0,1.8420157493201932,silverman,0.286332994102286,0.007067018684132112,50.0,ctka,3.0
79,tstudent,2.0,8.0,1.8420157493201932,silverman,0.2798193874869372,0.00490786851936657,50.0,ctka,3.0
80,tstudent,2.0,9.0,1.8420157493201932,silverman,0.2739355626837409,0.0032702613392656525,50.0,ctka,3.0
81,tstudent,2.0,1.0,1.8420157493201932,silverman,0.018367677566832535,0.3123490976818149,50.0,hsic,4.0
82,tstudent,2.0,2.0,1.8420157493201932,silverman,0.018202607346622893,0.14682663127453224,50.0,hsic,4.0
83,tstudent,2.0,3.0,1.8420157493201932,silverman,0.016758467660251814,0.08976567628349615,50.0,hsic,4.0
84,tstudent,2.0,4.0,1.8420157493201932,silverman,0.01625625655395581,0.0629451439502623,50.0,hsic,4.0
85,tstudent,2.0,5.0,1.8420157493201932,silverman,0.01581483182582961,0.04812993819843962,50.0,hsic,4.0
86,tstudent,2.0,6.0,1.8420157493201932,silverman,0.015019780951587942,0.023798350590008777,50.0,hsic,4.0
87,tstudent,2.0,7.0,1.8420157493201932,silverman,0.014652326796838333,0.018156960160192206,50.0,hsic,4.0
88,tstudent,2.0,8.0,1.8420157493201932,silverman,0.01445327385433065,0.01599780999542543,50.0,hsic,4.0
89,tstudent,2.0,9.0,1.8420157493201932,silverman,0.014254855566490582,0.014360202815325131,50.0,hsic,4.0
90,tstudent,2.0,1.0,1.8420157493201932,silverman,0.5322051744343,0.3123490976818149,50.0,tka,4.0
91,tstudent,2.0,2.0,1.8420157493201932,silverman,0.5075195352214253,0.14682663127453224,50.0,tka,4.0
92,tstudent,2.0,3.0,1.8420157493201932,silverman,0.4700819333388918,0.08976567628349615,50.0,tka,4.0
93,tstudent,2.0,4.0,1.8420157493201932,silverman,0.4458149079165317,0.0629451439502623,50.0,tka,4.0
94,tstudent,2.0,5.0,1.8420157493201932,silverman,0.42909481722907045,0.04812993819843962,50.0,tka,4.0
95,tstudent,2.0,6.0,1.8420157493201932,silverman,0.40352601360252605,0.023798350590008777,50.0,tka,4.0
