,dataset,gamma_init,gamma_method,hsic_value,scale,scorer
0,line,7.063086251236918,silverman,2.6755081191534608e-09,0.0001,hsic
1,line,7.063086251236918,silverman,5.6746212169357955e-09,0.00014563484775012445,hsic
2,line,7.063086251236918,silverman,1.2035592440538719e-08,0.00021209508879201905,hsic
3,line,7.063086251236918,silverman,2.552689836741346e-08,0.00030888435964774815,hsic
4,line,7.063086251236918,silverman,5.414128828454834e-08,0.0004498432668969444,hsic
5,line,7.063086251236918,silverman,1.1483097084392893e-07,0.0006551285568595509,hsic
6,line,7.063086251236918,silverman,2.4355065786561683e-07,0.0009540954763499944,hsic
7,line,7.063086251236918,silverman,5.165581216765503e-07,0.0013894954943731374,hsic
8,line,7.063086251236918,silverman,1.0955905275024453e-06,0.0020235896477251557,hsic
9,line,7.063086251236918,silverman,2.3236762513468073e-06,0.0029470517025518097,hsic
10,line,7.063086251236918,silverman,4.928324708888035e-06,0.004291934260128779,hsic
11,line,7.063086251236918,silverman,1.045238155534327e-05,0.0062505519252739694,hsic
12,line,7.063086251236918,silverman,2.2167399618613885e-05,0.009102981779915217,hsic
13,line,7.063086251236918,silverman,4.7008822166816366e-05,0.013257113655901081,hsic
14,line,7.063086251236918,silverman,9.967127915606078e-05,0.019306977288832496,hsic
15,line,7.063086251236918,silverman,0.00021125349174280352,0.02811768697974228,hsic
16,line,7.063086251236918,silverman,0.0004474097830210399,0.040949150623804234,hsic
17,line,7.063086251236918,silverman,0.0009460270231961878,0.05963623316594643,hsic
18,line,7.063086251236918,silverman,0.001993494618723692,0.08685113737513521,hsic
19,line,7.063086251236918,silverman,0.004170600966748232,0.12648552168552957,hsic
20,line,7.063086251236918,silverman,0.008595250175958575,0.18420699693267145,hsic
21,line,7.063086251236918,silverman,0.017177676784523137,0.2682695795279725,hsic
22,line,7.063086251236918,silverman,0.0323132905995119,0.3906939937054613,hsic
23,line,7.063086251236918,silverman,0.054450469806802,0.5689866029018293,hsic
24,line,7.063086251236918,silverman,0.07725828782751448,0.8286427728546842,hsic
25,line,7.063086251236918,silverman,0.08884945524951528,1.2067926406393288,hsic
26,line,7.063086251236918,silverman,0.08448906379976613,1.7575106248547894,hsic
27,line,7.063086251236918,silverman,0.07032169209675175,2.559547922699533,hsic
28,line,7.063086251236918,silverman,0.05404989350648971,3.727593720314938,hsic
29,line,7.063086251236918,silverman,0.039743690840715815,5.428675439323859,hsic
30,line,7.063086251236918,silverman,0.02853614165366276,7.9060432109076855,hsic
31,line,7.063086251236918,silverman,0.020251685065841414,11.513953993264458,hsic
32,line,7.063086251236918,silverman,0.01429160504329836,16.768329368110066,hsic
33,line,7.063086251236918,silverman,0.01006910133265394,24.420530945486497,hsic
34,line,7.063086251236918,silverman,0.0070985022629409655,35.564803062231285,hsic
35,line,7.063086251236918,silverman,0.00502684962883287,51.79474679231202,hsic
36,line,7.063086251236918,silverman,0.003601334619836011,75.43120063354607,hsic
37,line,7.063086251236918,silverman,0.002624611359573627,109.85411419875572,hsic
38,line,7.063086251236918,silverman,0.001955541182974822,159.98587196060572,hsic
39,line,7.063086251236918,silverman,0.0014944701248333753,232.99518105153672,hsic
40,line,7.063086251236918,silverman,0.0011751299039313215,339.3221771895323,hsic
41,line,7.063086251236918,silverman,0.0009562498932454313,494.1713361323828,hsic
42,line,7.063086251236918,silverman,0.0008079026436874881,719.6856730011514,hsic
43,line,7.063086251236918,silverman,0.0007067944525154672,1048.1131341546852,hsic
44,line,7.063086251236918,silverman,0.0006371140544715272,1526.4179671752302,hsic
45,line,7.063086251236918,silverman,0.0005892326779296858,2222.996482526191,hsic
46,line,7.063086251236918,silverman,0.0005573145824207145,3237.45754281764,hsic
47,line,7.063086251236918,silverman,0.000536119568351859,4714.8663634573895,hsic
48,line,7.063086251236918,silverman,0.0005214911974934153,6866.488450042998,hsic
49,line,7.063086251236918,silverman,0.0005107747220781298,10000.0,hsic
50,line,7.063086251236918,silverman,0.8259755502970607,0.0001,tka
51,line,7.063086251236918,silverman,0.8259755567978855,0.00014563484775012445,tka
52,line,7.063086251236918,silverman,0.8259755705858152,0.00021209508879201905,tka
53,line,7.063086251236918,silverman,0.8259755998293317,0.00030888435964774815,tka
54,line,7.063086251236918,silverman,0.8259756618533743,0.0004498432668969444,tka
55,line,7.063086251236918,silverman,0.8259757934032336,0.0006551285568595509,tka
56,line,7.063086251236918,silverman,0.8259760724136183,0.0009540954763499944,tka
57,line,7.063086251236918,silverman,0.8259766641791175,0.0013894954943731374,tka
58,line,7.063086251236918,silverman,0.8259779192764733,0.0020235896477251557,tka
59,line,7.063086251236918,silverman,0.8259805812394171,0.0029470517025518097,tka
60,line,7.063086251236918,silverman,0.8259862269660603,0.004291934260128779,tka
61,line,7.063086251236918,silverman,0.82599820052817,0.0062505519252739694,tka
62,line,7.063086251236918,silverman,0.8260235925060669,0.009102981779915217,tka
63,line,7.063086251236918,silverman,0.8260774325351108,0.013257113655901081,tka
64,line,7.063086251236918,silverman,0.8261915566496517,0.019306977288832496,tka
65,line,7.063086251236918,silverman,0.8264333028848022,0.02811768697974228,tka
66,line,7.063086251236918,silverman,0.8269446631149526,0.040949150623804234,tka
67,line,7.063086251236918,silverman,0.8280230836366324,0.05963623316594643,tka
68,line,7.063086251236918,silverman,0.8302828977498846,0.08685113737513521,tka
69,line,7.063086251236918,silverman,0.8349542243631581,0.12648552168552957,tka
70,line,7.063086251236918,silverman,0.8443330175283336,0.18420699693267145,tka
71,line,7.063086251236918,silverman,0.8620188338925605,0.2682695795279725,tka
72,line,7.063086251236918,silverman,0.8911604103749722,0.3906939937054613,tka
73,line,7.063086251236918,silverman,0.9271626101063117,0.5689866029018293,tka
74,line,7.063086251236918,silverman,0.9492686701675609,0.8286427728546842,tka
75,line,7.063086251236918,silverman,0.9316980586570345,1.2067926406393288,tka
76,line,7.063086251236918,silverman,0.8675535740399507,1.7575106248547894,tka
